"col0","col1","col2","col3","col4","col5","col6","col7","col8","col9","col10","col11","col12","col13","col14","col15","col16","col17","col18","col19","col20","col21","col22","col23","col24","col25","col26","col27","col28","col29","col30","col31","col32","col33","col34","col35","col36","col37","col38","col39","col40","col41","col42","col43","col44","col45","col46","col47","col48","col49","col50","col51","col52","col53","col54","col55","col56","col57","col58","col59","col60","col61","col62","col63","col64","col65","col66","col67","col68","col69","col70","col71","col72","col73","col74","col75","col76","col77","col78","col79","col80","col81","col82","col83","col84","col85","col86","col87","col88","col89","col90","col91","col92","col93","col94","col95","col96","col97","col98","col99"
1472907,"meescevuecgyvi","dszksajnoavkhk","rgdxyqzmistydq","wokpxqqhbabqkq","mxgjnazvxknihe","aarlwoui","hggfacnkzzzgtk","ouuinhjm","wcdmqeshwfiquz","uwuahcvnrxpmph",12499.702298020133,-11288.62286337291,-10733.253514750766,-24841.52662039111,-7077.168423712912,-20087.49343729905,-5106.698294140391,-22881.271091304632,4954.698414958588,-4973.749654496136,-18593.666763591842,-8583.615022397717,-9088.800969899996,2381.1581772094287,-10990.942350798307,-13559.443249397804,-16714.31843175607,-17950.227729898674,3273.7432439263066,-26877.63269677144,-267.068771674054,-22815.364476528277,832.1250607208312,-20199.915085004133,-18474.415181802447,-15914.416598828157,-17946.870738659858,-16327.494800054203,-1949.936469923392,-13891.949784612185,-3346.5762533353445,-1645.4768013780904,2468.267157213544,-5490.153439724056,-19652.01658620841,-15652.709574603228,-6185.2048015622095,5522.674511819876,-7855.626012802891,265.8059322488334,-28620.695723193337,-16275.905352512067,10952.779930662837,-10887.139051438504,-5306.314188868675,-15456.004804518103,-16760.217948812537,-21642.87225613637,-11049.016052652156,-6713.366299684253,-13617.495320682377,6702.456221881468,2732.5603764784028,-25744.83102027341,-3706.8226855613493,-8624.983592364737,-4048.5574680325053,8827.55342334455,12232.05284181526,-5033.423678961302,-18405.147333051682,-29010.60935065755,-4262.477672898602,5689.5542467882515,-8739.677729990073,-25357.99795486482,1413.6490443625662,-16458.00511362717,-3356.736794995797,-22501.235355769768,-13632.57071807243,9695.024482708595,-13518.133059732878,-26179.920725294454,-7632.116739580231,2820.227028985655,-4605.936305218814,-9920.124836339362,-16349.666158479982,1671.9698991504465,-6369.048256271083,-4941.840957504726,-12846.295689389188,-8011.1335397667335,-3377.083191869884,3934.6323049606817,6877.993133750078,-8986.456796752609,-8491.940765154704
1759451,"ugrtwxwbcmqdym","ibtltamxcdfmus","enepaxel","wokpxqqhbabqkq","vhnehllgvgyrzw","uyjkwwynwqtvzb","hggfacnkzzzgtk","fqponixkggstck","ieoloagxwdjqcl","kxbhibmv",-18644.489200797216,-18472.790673704883,-7701.567162484667,-7838.537768774737,-15410.302868326351,-424.13108710934466,-22902.113350427102,-1733.118115067251,-18928.051762062045,-9456.514680975637,-9175.712480280647,-7565.712334818849,-9384.824369617178,-26934.333442016166,-4657.172246332475,-21155.204738421162,-1821.5326428717026,-12167.15952965255,-5737.072721696411,-11619.028510010645,-22616.62226222131,-8228.95932106526,-23031.855842107267,-2155.330875931759,-20682.940436147597,-16918.750684620194,-16167.302049619326,-19457.209665897128,-1388.3006468567928,-14572.924371911815,-31486.07944510085,-22326.72969217526,-3419.1096424248,9488.820707166939,-6509.202080681639,-16886.758705782835,-10935.795997056735,-18643.63876733961,-836.2733575545008,-18742.7190638624,-4943.8947767227355,8205.793345510538,-15926.809037231556,-7150.406735916861,-15717.18019076249,-25288.563810091415,-13192.746185672964,6625.656612876126,-5621.6782899587615,-5120.187976421202,-14728.670190900833,-1937.7900224197429,-11684.054373193641,-7420.549240402681,-3555.0083029171738,8059.702846346285,-4780.813642097527,-4320.851001705063,-28539.611266317574,-9684.82748282279,-38376.680247683675,-16004.402928573247,4476.288282765039,-5231.714331684826,-30453.948783600656,-9139.249974862065,-8048.197528571022,-17575.919514562724,3348.825526826542,5072.083708030928,-662.4654292359628,-18024.76066728813,3422.7511248546616,-15290.474276537567,-9707.957290859784,-6088.358046355021,-25359.743117671234,-2012.0560711685512,-14580.100958352374,-15224.247028641244,-21266.056936653968,-20677.519478124897,-7943.427592691456,-6272.94572109958,-1021.2905555288326,-11688.91481906483,-12593.880115794953,-7187.057737426838,1039.5250841983943
1255366,"ugrtwxwbcmqdym","dszksajnoavkhk","rgdxyqzmistydq","pfufqdff","vhnehllgvgyrzw","gjuovpdxbigybj","zduisnez","fqponixkggstck","wrhrwvpa","uwuahcvnrxpmph",-13493.647904936737,-11806.117585000045,-15757.97744557384,3457.170227856617,-22252.008140379796,-20477.74751937631,2188.479873520053,2234.6512367662217,-4934.813670440952,147.94382161986323,-15994.619677783408,-15166.905725588793,-18880.966193903783,-4446.688908852181,-12372.926239222154,-3294.946687348095,9199.45725428472,-10435.603638922981,1743.0894216665329,-9436.394259203642,-1874.9157703095889,10837.64743004027,-14016.767362974786,-3036.464164412767,-28021.743529848427,-3557.101893850994,-13101.82732280465,3742.1942172446106,-1496.9631615426733,-11039.288735322307,-333.2517001185115,-4308.080484739281,-9467.290017577692,40.23572049824361,-13995.526661614897,-14799.35767544065,-11056.626425520968,1247.5760587665045,5328.632104269685,4490.853667044812,-11439.684700641701,-2012.8274897822794,-7899.482210396216,6722.088554051545,-15548.1390974812,-18.181153743698815,-31269.113655458612,-30040.270807846977,2786.6133133230014,-4563.714388068784,-3482.420983541744,-7634.374537930382,-18547.462664370654,-1223.1776681939627,-4285.5337396648865,-8048.415504044596,-12957.164435305322,-12017.46742599122,-20626.878521899056,-13533.436310516208,-20732.50786803046,-11977.69915106031,-8903.214457178892,4255.228904101723,-8952.192107363007,-10406.976479995348,-30830.437822448217,-9331.959109618869,2254.8492118713257,-21096.725264705638,-21125.068990817097,-21055.83443235961,1594.647008853848,-8704.82956271615,4235.664504739618,-12564.308398972582,-19976.687227259692,-17848.584970614756,5041.78722950611,-7795.062241670361,-28939.31832713619,-19799.159805234936,-19871.300479924957,14694.872037949364,-19177.578754371956,-10445.618907910302,2465.0917113278447,-4006.8565982118116,-7621.855666726899
1412925,"cjkwddww","dszksajnoavkhk","lvfgstujfshric","wokpxqqhbabqkq","mxgjnazvxknihe","gjuovpdxbigybj","hggfacnkzzzgtk","ouuinhjm","wrhrwvpa","obxozkgokyrdys",-8541.405034320716,-937.4657618825495,-4826.496424333253,-22016.472276368804,-6804.344816908473,12211.250455579677,-5810.426277150519,-28076.392910408107,-16528.852486016855,-20921.977931486224,-7589.823981008619,-1490.9653982700365,-9573.808414435829,-2374.04020734182,-6140.137400164735,-11566.1168957931,31.651749853768706,-7227.764940417229,-2881.4674082950824,4288.660903179914,1666.4104143045533,-15415.75596287502,-9316.600867242345,3752.194224085277,-12176.007305012332,-18749.131568267898,-14903.535530549154,525.1152651691318,-10345.249064654814,-10608.46467620014,-10445.289836285863,11032.995160536382,-18333.52107388457,-5222.395003279715,-22576.93877522242,3418.004247641855,-11442.476751105813,-18446.6702951809,3312.961500599189,-9845.550620832251,-11683.185882762822,-1353.1926109091291,-5103.098531610979,-6573.355343497763,-16922.40393755677,-7003.271831538696,-11682.541050146756,-1876.082828605091,-24192.485369984846,-17060.085403887933,3075.4492088974293,7809.715797785295,-26299.70004154736,-4102.76156186655,-1708.5937048324686,-5470.780227210452,-12115.881097052783,-3348.6037525648762,-27742.564139613267,-9006.357762376392,-9576.417996883492,-15409.531212830876,-23693.15926429256,-23872.15481314424,-17733.88289715766,-14611.712332945859,-11651.732146185268,-10398.430839438857,5715.961556677215,-8274.058586812114,-3814.713648365825,-23935.031230738536,-14841.315703107692,-2387.746564845892,-5988.657330869286,-20262.447379166806,-12804.946928977772,-28113.71933006253,-12688.960164495245,-2842.030026408038,-10706.456818881248,-15166.033219010587,-12000.674704120574,-12310.428008665516,395.0606724789395,-18758.830189581306,2479.9116034016497,-3174.1484946652918,7247.505805027344
1564465,"meescevuecgyvi","dszksajnoavkhk","lvfgstujfshric","pfufqdff","mxvgpptg","aarlwoui","zduisnez","qzkehxdaqkkicn","wcdmqeshwfiquz","uwuahcvnrxpmph",-19592.71270220298,-9099.716863551452,-26626.444270815973,-9522.583506363404,-8230.912756272864,-21328.439838877133,6172.487075449657,-14269.80390738133,-608.1487055893194,2520.6443699952197,138.79794273033258,-7677.771377690113,-7239.666760579559,-20332.59485570252,-17266.09974276144,-13236.171305005613,-9156.348996389746,-14014.831022862592,2701.757971784882,-7843.990023996098,-21305.398877844105,-3900.05655406384,-821.1131746176725,-14915.91179708541,5357.129458894808,-11288.009335927514,-7582.068005294977,3560.1258158243836,-20903.197989428038,13739.421241550015,-13785.173609045887,-8262.44982636955,-9055.383305226753,3015.510784555774,-13976.561103421098,4606.2787240342805,-12065.962276425727,-2839.5502522770876,-13462.058024841064,1702.466636460238,-413.4883655601425,-3398.7955592893404,-6886.6569491332175,-12557.374845605733,16941.85019645622,-15876.691485545269,957.7265068053075,-9726.52843013334,-18518.0719707959,16741.59536747923,-575.6126341965155,-14251.23092037106,-15372.700055939898,-8154.188838222197,-12995.858574599562,-19975.969223451757,-21950.67419986282,-14330.639313406937,-921.3787649823607,-9077.869163952897,-9070.61954745724,-21762.319834157803,-28911.890484227657,-15272.065736508626,-3048.0974278996255,-810.9744439328606,-19928.187715441585,-23625.3900019706,-12744.360927471782,-12208.843092903879,-3289.5637993368655,-16798.235102078295,-33809.074882238405,-2580.730188143305,-14360.11687542446,-13097.44296812653,-17959.65622374771,-5178.382381382148,-782.7276431587652,-8721.684967865958,-3268.724334523875,-6112.335815218801,1951.233438250696,7181.405712208285,-17679.64800885618,-18987.813140682847,-6756.193154589589,-19953.502269219323,-6844.564899663448
1036482,"ugrtwxwbcmqdym","dszksajnoavkhk","lvfgstujfshric","pfufqdff","vhnehllgvgyrzw","aarlwoui","yliewtzqrtmuuh","ouuinhjm","wrhrwvpa","kxbhibmv",-1479.5603462099334,7616.361579561653,1773.5551961941928,-5968.191011122268,262.82408019736613,-24511.179648763595,3037.9814004133186,-17052.738816925554,-8233.773716786498,-725.2812995519453,-21480.67673566216,-2867.487578427854,-19448.80926841309,-12341.943895331822,709.9308103973635,4145.658558533487,-2112.1533624962076,-4692.426332970341,-13466.42384011329,-20939.19328995404,-22576.140660545672,-426.46376744339796,11558.054501720726,-11973.017506899605,-9470.316850536812,-4660.224510152784,-2869.2635673568293,-10633.156517946256,-10213.546577041794,-18415.588456067133,-19030.87345000732,-19721.156080491703,-28323.432149237873,-8522.79526942545,-9281.9153434781,-20215.484734719175,-1417.619978026005,2859.4978677997806,-5581.643829039026,-9044.42267940715,-5933.732676133412,5746.5314822062755,5240.856389515309,-3293.2478616351473,-3782.724364114706,-19851.182746203533,-12861.4509946303,-15984.769772437976,-5627.968723813236,5017.627763237917,-18060.197101405585,-16940.53523523728,-2828.759147570675,-14918.781422086158,-7858.118287454976,-18115.160961736932,-11064.970280673553,-18424.702782182783,-613.9931614157158,-17160.708356748175,-6393.195898832379,-13604.158242647582,-22833.72975537877,1105.1785610970637,-22394.797105461268,-1274.872019715891,-12579.52726818037,-6792.991285603681,-34414.75931031556,-10145.453043690319,-8347.458492422855,-9492.484225209533,-3528.013724630441,-7656.436454115144,23857.876842341182,-17994.20507967462,-4460.445291627998,-6696.657619936752,-13995.798985266163,-10028.793893504922,-1308.3914791922707,-12482.70801967282,-20767.37278219276,2492.1028819426374,-8563.88954030559,-19957.055342942374,-5714.58960156839,-9254.685312293566,-4535.421290269935
1206083,"ugrtwxwbcmqdym","ibtltamxcdfmus","rgdxyqzmistydq","bpqvgtvzycmubv","mxvgpptg","aarlwoui","zduisnez","ouuinhjm","ieoloagxwdjqcl","obxozkgokyrdys",3118.147415881698,-11032.986660918463,-16334.676339198268,-29295.923008550762,-12970.495007203825,-16314.35633122065,294.3834896828412,-8507.653846085112,-16460.407522705755,998.6134001755381,-16948.346085036595,-19852.36605392866,-3655.9986908662713,-14842.99358290343,-29663.407984574853,-24582.626788644295,-13364.742206746112,8399.320142875891,-33894.710512570295,-8589.47088941167,-22277.284373032882,-3668.5263001710673,-2951.5366041133275,-23451.557652964133,709.7835966278781,4558.467427231286,-14964.24762149463,-16258.888355232164,-14331.361716066702,8121.3654487692,-10143.620567314185,-4609.605717023236,-28734.469984870553,-15461.138162328987,-15218.134878821813,-14222.040068584856,-904.9254021259621,-22460.504276940803,-23814.024957127716,-6303.0887823345565,-21419.67749975146,-2511.17977324632,-17179.58001230083,1975.9639536503346,-13439.61734767365,-7387.001003158932,-8814.480262847566,-379.40515531279016,-36591.40392747175,-7960.731656723952,-19867.863156858246,-6462.265786350967,-8401.950480436495,-18460.152901328333,-14935.118541359358,-9510.109571866267,-11998.488675618522,-6442.498783995623,-6813.47372259049,-437.38744313904317,-1736.8781359558652,-9694.826474180958,1799.2706313774215,-8966.492443115798,-16170.554660670528,-7178.956082902461,-2981.4964632769843,-14487.375813958257,-801.0346011470247,-5379.609889145861,-14872.14691659572,-9723.205298598223,-23009.91338412455,-23345.829861561157,-1479.379477174809,-4209.660863195789,-25036.551645311403,-14476.128834901747,-17794.105596760197,-9635.183171699528,-15601.445208869407,-8956.1789435197,10355.817388024978,-10457.370117901495,-15716.388900990252,-8341.90878910003,-4678.054658483454,-29516.45137814756,-5660.408301515206
1915395,"cjkwddww","qavilhhy","lvfgstujfshric","wokpxqqhbabqkq","vhnehllgvgyrzw","uyjkwwynwqtvzb","zduisnez","ouuinhjm","ieoloagxwdjqcl","uwuahcvnrxpmph",-5962.150796140017,-30232.83130747803,-5483.962664591294,1970.1467705096238,-9696.145807049214,-17317.20282033548,-3111.5715573915104,-6685.657271700313,7383.680716183026,-5424.635227107039,-11164.688564280776,-17670.99030880151,-3957.251630937263,-6235.572853535625,-29094.58815001262,2454.666952759959,-11623.601996978248,-19611.386531879896,-28702.75234268608,-15472.521747658684,-8900.660001292237,-18335.88307830094,-21286.576605338312,-8503.071474101505,-14258.480526002382,-12280.110207869888,6291.801663332275,-13133.157940188872,-1270.2864028888416,5190.453843015217,-25958.231620390412,-16742.553771180363,-13260.165577496855,-10142.55128269938,-6349.01606630073,1757.2460091943758,-19197.001430777273,-18327.50419627442,-13505.877151642451,-14607.82222111437,-8417.181046697531,-11063.363742216448,-2583.0225642202477,-24503.375691590787,-3672.0978101194933,-19188.560669286977,-17296.29469669587,-1607.9694169846189,-21936.556018374773,-6091.07622080804,12743.352609173959,-18520.552856857663,-1811.9706403475875,-7682.511585704051,-23664.38421542526,-8977.963737333594,13282.56104391344,-32560.363760816952,-16236.175119300231,-31244.73425668617,-17212.954392229894,-10668.18541899798,-13651.40105886171,-11221.401854829153,399.38880515673554,-24454.202778667837,-12290.009736467553,-9402.63988833053,-18714.15362209195,-24583.063386313526,-1882.8641430455637,-4732.886950000546,5915.819420234531,-2374.7288830224534,-10544.16319323405,-7729.189598766343,7047.165052633263,-25238.66944781989,-4541.319432618593,-22479.217264494815,-8138.508892791912,-13976.898933970111,-6851.998394860446,-5634.958779188895,15539.767572304336,-23949.520846601987,-13286.597563604182,1630.2326639073362,-10009.7529313656
1733004,"cjkwddww","ibtltamxcdfmus","rgdxyqzmistydq","bpqvgtvzycmubv","vhnehllgvgyrzw","gjuovpdxbigybj","hggfacnkzzzgtk","qzkehxdaqkkicn","wcdmqeshwfiquz","kxbhibmv",-3857.235238468067,-20224.964623086562,-11275.741689325703,1742.6486165413262,-14996.213497502304,-9847.812624903736,-18785.48901997968,-10047.605708422238,2021.4837898022415,-8783.54247978503,-8764.934126494461,-6950.020579431532,-32378.46458033323,-543.1707850270977,-5940.297645729774,-1713.6451528322887,-16848.87288790037,-884.6174233475886,6430.452724309467,-20278.178116797077,-2433.511631697821,-9248.363553686539,-17968.953245872937,-18169.71373259004,-21347.479327628964,-10282.820778185047,-11090.217889910607,-15378.000568136518,-23369.287786166,-23900.997290505897,-17841.774013618164,-9294.88507573676,-13825.399937375725,-8350.379224220871,-14480.886155043296,-21056.070153113247,878.5949504814143,-13578.826174745103,-8834.924572791551,-2712.268636338473,-22723.868480395824,4721.030131998537,-3571.923965622861,-34670.807886326904,12374.179362647606,-11632.751152834044,-12560.739910420994,5843.992159881687,-15738.106598094488,-7369.87256969844,-26000.669397910155,-6016.447859651769,-12660.274910584902,-12709.114664175504,-13129.341806173965,-8679.632409811284,-34407.85088070492,-24799.460199549383,-7436.471358870669,-17543.288688940018,-6942.058337248902,-7112.837742917227,-9860.618909580198,-517.669970171477,-20603.414651480583,-15391.682871203313,-22422.868947203733,-7541.979558068719,-16651.72075344638,-17007.142857848026,-3405.700341789293,-20240.92303499726,-11059.362888703403,-8237.15861675818,-14244.59578488483,-5905.487047897945,-3631.106727471535,-24888.90407744779,-2937.6691782534035,-1753.970503296492,-9609.458877790721,-9327.09784285299,-28304.760167327262,-5460.593446170241,-34904.29474283528,-11813.058631394802,-11187.68293654532,-22971.570160862826,-8026.605634496294
1586160,"meescevuecgyvi","dszksajnoavkhk","rgdxyqzmistydq","pfufqdff","mxgjnazvxknihe","aarlwoui","zduisnez","fqponixkggstck","wrhrwvpa","uwuahcvnrxpmph",-2708.114833122908,-7138.159159159375,-19476.894751850858,-5670.118203310652,-10304.367968707184,5922.774599698936,-15581.822232612565,-15217.112284772178,-20386.48310573659,-3164.2121029900773,-18877.771129992987,-6941.492808795287,-15485.17590807567,-462.948116472091,-16778.095722850427,-22264.891141259573,-590.0007063455141,-16862.947148902447,1398.2943372465088,-714.2577252952578,-15970.276916401588,-7218.3929935827555,-3371.241425923242,-8183.658191795097,-12279.90568965317,-20220.480025259014,1166.5469173521851,-13981.007639322776,-4166.030682265006,-27432.303580403837,-3274.772022513158,-9641.850333394896,-36474.53912277392,-25094.328474155926,-21793.139069912908,-3222.486018910118,-13419.74556162268,10510.267893251144,-7011.134321980743,-6115.80174974981,-9496.611428737735,-6496.201156438063,-17036.807888547475,-23136.9707193993,-19835.50257528902,-18003.74969836152,-11882.016542859052,-19968.741015864784,-13239.820703478124,-469.4822128078886,-22678.632300917765,-12878.166225301211,-16627.054044787692,-19702.124042416384,-1984.203473479024,-23777.95958209361,-8806.855168136193,-15046.484549789333,-11521.291523617654,-4518.0934814042275,-10231.760411498923,-14251.230633479647,-7534.547952689671,-1713.273723598406,-1842.748840525821,-17609.99217423408,-8449.28343952119,-23220.104217596152,-24513.614106287678,2174.0211062289673,-17489.25611225296,-13249.457596681,-24824.81816451178,-27435.46851542587,-18079.399744794366,-18271.96301813615,-24198.653940733006,-13632.964214358366,-6409.049218117952,-21136.09106912369,-20106.035671387493,6864.260325040072,-11566.955536523497,-10141.43821670454,-4292.970317969812,-4924.352093511892,-18353.07148530332,-27155.683615451664,-8208.66103409741
